no,fecha,cfdi,nombre,monto,dias,fecha_pago
23,3/6/2020,7636,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,44,5/8/2020
24,3/6/2020,10968,BESTOP INC .(LOUISVILLE),41827.5,44,5/8/2020
25,3/7/2020,7637,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,6411.14,43,5/8/2020
26,3/7/2020,7638,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,43,5/8/2020
27,3/7/2020,7639,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4126.67,43,5/8/2020
28,3/7/2020,7640,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,43,5/8/2020
29,3/7/2020,7641,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,43,5/8/2020
30,3/8/2020,7642,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,6849.57,42,5/8/2020
31,3/8/2020,7643,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,3442.35,42,5/8/2020
32,3/8/2020,7645,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,42,5/8/2020
33,3/8/2020,7646,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,42,5/8/2020
34,3/10/2020,7647,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,5519.47,40,5/8/2020
35,3/10/2020,11021,BESTOP INC .(LOUISVILLE),21441,40,5/15/2020
36,3/10/2020,11022,BESTOP INC .(LOUISVILLE),15892,40,5/15/2020
37,3/11/2020,7648,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,107.51,39,5/8/2020
38,3/12/2020,10976,BESTOP INC .(LOUISVILLE),21043.2,38,5/15/2020
39,3/12/2020,7649,BESTOP INC .(LOUISVILLE),14675.7,38,5/15/2020
40,3/18/2020,7650,BESTOP INC .(LOUISVILLE),21019.8,32,5/22/2020
41,3/19/2020,7651,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,31,5/23/2020
42,3/19/2020,7652,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,11776,31,5/23/2020
43,3/19/2020,7653,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4064.34,31,5/23/2020
44,3/20/2020,7655,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,30,5/23/2020
45,3/20/2020,7654,BESTOP INC .(LOUISVILLE),102,30,5/22/2020
46,3/21/2020,7658,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,6372.66,29,5/23/2020
47,3/21/2020,7657,BESTOP INC .(LOUISVILLE),805.46,29,5/22/2020
48,3/22/2020,7660,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,28,5/23/2020
49,3/22/2020,7659,BESTOP INC .(LOUISVILLE),289.3,28,5/22/2020
50,3/24/2020,7661,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,26,5/23/2020
51,3/24/2020,7664,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,5824.22,26,5/23/2020
52,3/24/2020,7666,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,3683.23,26,5/23/2020
